status	path	disposition	slice	effect_class	integration_commits	evidence
M	docs/README.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	docs/architectural-principles.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	docs/architecture.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	docs/certification_and_drift.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
A	docs/dispatcher.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	docs/installation.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	docs/plans/nested-module-behavior.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/plans/osx_feedback_fix/README.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/plans/unified-architecture-migration-map.yaml	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/scaffolding/README.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	docs/skill-blueprints.md	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
M	docs/superpowers/plans/2026-07-25-nested-modules-v5.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/superpowers/plans/2026-07-26-principle-agreements.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/superpowers/plans/2026-07-27-downstream-workflows-v5-rebase.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/superpowers/plans/2026-07-27-google-onboarding-v5-rebase.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/superpowers/plans/2026-07-27-osx-installer-runtime-v5-rebase.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/superpowers/plans/2026-08-03-closure-scoped-dispatch-validation.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/superpowers/plans/2026-08-03-dispatcher-route-catalog.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/superpowers/plans/2026-08-03-ten-skill-refactor-pass.md	rejected	S8	E11	none	user-approved-historical-plan-omission
A	docs/superpowers/plans/2026-08-04-dispatcher-docs-and-launcher-performance.md	rejected	S4,S6	E05,E06,E07,E10,E13	none	user-approved-historical-plan-omission
A	docs/superpowers/plans/2026-08-04-fast-dispatcher.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs/superpowers/specs/2026-08-03-dispatcher-route-catalog-design.md	rejected	S8	E11	none	user-approved-historical-plan-omission
A	docs/superpowers/specs/2026-08-04-fast-dispatcher-design.md	rejected	S8	E11	none	user-approved-historical-plan-omission
M	docs_tooling/catalog.py	adapted	S8	E11	3ae2a40	progress-log:S8;focused-checks;checkpoint-hooks;closure-full-pending
A	officina.toml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	pyproject.toml	adapted	S4	E07,E13	d5584e7+484c0d5+b632de0	progress-log:S4;focused-checks;checkpoint-hooks;closure-full-pending;real-wheel-build:b632de0
M	references/blueprint/README.md	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/behavioral-source.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/blueprint.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/blueprints/schema-annotated-draft.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
M	references/blueprint/common.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/behavioral-source.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/caller-contract.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/certificate.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/common.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/config.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/direct-io.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/interface-projection.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/legacy-reference-nodes/blueprint.v5.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/legacy-reference-nodes/node-standards-source.v5.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/legacy-reference-nodes/node-standards.v5.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/legacy-reference-nodes/schema-annotated-draft.v5.yaml	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/module.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/pooled-review.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/schema-meta.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/schema.annotated-draft.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v5/template.yaml	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v6/behavioral-source.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v6/common.schema.json	adapted	S1	E01,E02	57a4c63	progress-log:S1;focused-checks;checkpoint-hooks;closure-full-pending
A	references/blueprint/migrations/v6/facade-cutover.json	adapted	S6	E11	6766e69+484c0d5	progress-log:S6;focused-checks;checkpoint-hooks;closure-full-pending
