commit	subject	protection_group	slice	resolution
01321c0075f6f57cb07cbfb5be633c5c75d3d4a8	feat(tw): add tw-break script with position detection and stack push	T05	ALL	retain
c2a8e273b40cb7136054a2caacd47db7330c82f1	fix(tw-break): address code review issues — entry format, sole-pane guard, ordering, PID collision	T05	ALL	retain
36ab8f509d01faedf8cdb185f60c69cf0167ea2a	feat(tw): add tw-join script with stack pop and position restore	T05	ALL	retain
17b5fcdf3ceba626fed7e104231124d9cacc77e6	fix(tw-join): surface "all entries exhausted" when stack drains without restore	T05	ALL	retain
ad11d4b1b74ccfa6d5e035fe48b42406b7985784	feat(tw): add tw-monitor script for slim btop panel toggle	T05	ALL	retain
2f5e8c4c45cc628d8d5de8653a940e682cc16673	fix(tw-monitor): use @tw_role tag for detection, fix stderr, capture pane ID for focus restore	T05	ALL	retain
cc3f963f7ba580d6b4126a304a81371807306752	feat(tw): wire up prefix+b/j/m bindings and update usage docs	T05	ALL	retain
f83a9e755bae97142b24e32011e2e86ca530d431	fix(tw): fix 5 bugs found in final review	T05	ALL	retain
841e80306d9ce158b8f8bd1a99bb9e04e3574dd9	docs(tw): update spec and lessons to match final implementation	T05	ALL	retain
5dd9cd903dd8866117b583b7755cb10637866bf2	fix(platform-neutral): scan git-tracked files only; add transient data convention to §10	T07	S6	retain
8e9d9ba0dbe63005e50b65b671e773a428f4e6a1	feat(math-dependency-graph): routing overhaul, source lane, developer docs	T07	S6	retain
5f931f4ed7a2ad575c8b399bbbc4dad137f2067e	feat(tw): add tw-help palette, status-bar hint, compact btop monitor, fzf install	T03	S4,S6	retain
b8227ff4b4d32d894a263c37558e665673befa6a	docs: update skill docs and deps for env.sh systemd PATH fix	T07	S6	retain
93320fb0ef9163ccd9fbd625a92c79657f408a69	test: guard runtime_dependencies.json against v2 schema drift	T07	S6	retain
73459b5e3abba46b1d7d427f41e8c64a3036387c	feat(officina.common): add FamulusPaths source, avoid Documents on all platforms	T03	S4,S6	retain
0925609d1baccbf45c93fa2d991f8152114d4e5b	fix(install-assistant-tools): stop defaulting public bin/worker paths under Documents	T03	S4,S6	retain
d51faa5b36ab7772cb6d8d0dac10d81fb08c47ca	fix(install-assistant-tools): always install assistant launcher for invoke-skill	T03	S4,S6	retain
57f4e17a90d9d0131d79251f3a6471b49a12f9bd	feat(officina.install): add install-info.toml parsing and atomic current.json pointer	T03	S4,S6	retain
c37c59222885f39ccdfee9213ac8c86a1eff5a68	feat(officina.install): atomic one-batch dependency install from the real v1 manifest	T03	S4,S6	retain
a49c9bc4f98b26e103c6680ece40bbe9c0ffc370	fix(install-assistant-tools): generate launchers via stable resolver, not embedded repo/interpreter paths	T03	S4,S6	retain
34e4013fe068afafb759a8e5d6db17de51a21502	fix(install-assistant-tools): make the launch resolver dependency-free (no ambient officina import)	T03	S4,S6	retain
2dc3efda1daa8b34669c8325b5915032761ab018	feat(install-assistant-tools): require a verified managed-runtime candidate before scaffold runs; remove scaffold's redundant ambient-python install path	T03	S4,S6	retain
aa10602ccb4cc316ae2c1b358d2497fa0abf01a4	fix(officina.install): route install-info.toml access through toml_io boundary	T03	S4,S6	retain
12bc23d34f4be29e8f2cd86518dfec61c8fefc23	fix(install-assistant-tools): declare rtx-phase-entry's missing uses_interfaces edges	T03	S4,S6	retain
595a84309c2ee79f71e5263b87ce0f25adab5f73	fix(officina.install): add package-init source so install-assistant-tools' process-bound sources can certify	T03	S4,S6	retain
4c3bd7f0d6105e2acf6cfb029cf8e0fc8f9f4525	feat(validators): reject duplicated fixed dispatcher subcommand tokens within one source	T04	S2,S8	retain
9912bf2ded9b0636a0e3a2489d6bf4715cfd67aa	feat(dispatcher): structured typed failures with module_id context and --error-format json	T01,T02	S1,S3,S7	retain
bd6cde2a24b2350c9276c01567eb69dd0c5f9409	feat(officina.common): canonical Google client discovery, client secret in secret store not plaintext	T07	S6	retain
818686f1c2da7c01e16d3138b82a046e5abf3053	feat(connect-google): one combined OAuth grant across Drive/Calendar/Gmail via authorize-services	T07	S6	retain
d9f0c33a594fb88767da706b54cac467793f7f2f	feat(cloud-files): consume shared credential_id, keep legacy OAuth as untouched fallback	T07	S6	retain
b4313af4ea7bad6f214b429d9fdb9b80b9f60884	feat(g-calendar): consume shared credential_id, keep legacy OAuth as untouched fallback	T07	S6	retain
98bab43aa62b1cb7d09439a8c5b276cad2ce13e7	feat(email-client): consume shared credential_id per account, keep legacy OAuth as untouched fallback	T07	S6	retain
f4a826abc2b0699e7547cbbd2781e90f047511f3	feat(install-assistant-tools): self-contained Google onboarding step after core install completes	T03	S4,S6	retain
3caee2f096fee1838b746771c9f5b6fb4f073721	fix(recurring-tasks): backend-owned scheduler context, drop hardcoded DBUS UID	T07	S6	retain
826fb71ef4ff09e55e25dc81a2b12df5ed4d2dbb	fix(recurring-tasks): healthcheck exits nonzero when problems are found	T07	S6	retain
